taken from https://www.bfs.admin.ch/bfs/de/home/statistiken/bevoelkerung/geburten-todesfaelle/vornamen-schweiz.assetdetail.5946318.html
Abigayle	3	*
Abigaël	62	*
Abigaëlle	62	*
Abigaïl	35	*
Abigel	3	*
Abigél	4	*
Abija	4	*
Abil	*	15
Abilas	*	5
Abilash	*	21
Abilino	*	3
Abilio	*	267
Abilj	*	8
Abim	*	4
Abimael	*	3
Abimbola	*	4
Abina	33	*
Abinaash	*	4
Abinadab	*	3
Abinaja	6	*
Abinan	*	4
Abinas	*	4
Abinasch	*	3
Abinash	*	20
Abinath	*	3
Abinaya	82	*
Abinayan	*	13
Abinesh	*	11
Abiodun	*	3
Abiola	5	*
Abip	*	7
Abir	73	7
Abira	22	*
Abiraa	4	*
Abiraam	*	5
Abiraami	5	*
Abiraj	*	5
Abiram	*	17
Abirami	37	*
Abiramy	18	*
Abiran	*	4
Abire	4	*
Abisa	10	*
Abisan	*	17
Abisana	5	*
Abisanth	*	9
Abish	*	6
Abisha	42	*
Abishaa	3	*
Abishan	*	44
Abishana	17	*
Abishanth	*	11
Abishek	*	26
Abisheka	4	*
Abishika	3	*
Abisolom	*	3
Abison	*	3
Abit	*	7
Abitha	9	*
Abithan	*	6
Abiy	*	3
Abiye	*	3
Abla	29	*
Ablavi	16	*
Ablawa	3	*
Ablel	*	14
Ablelom	*	6
Ablewa	3	*
Abner	*	11
Abolfazl	*	27
Abolghasem	*	5
Abolghassem	*	3
Abolhassan	*	3
Abou	*	29
Aboubacar	*	34
Aboubakar	*	10
Aboubaker	*	5
Aboubakr	*	6
Aboud	*	4
Aboudou	*	3
Abra	16	*
Abraao	*	5
Abraha	3	10
Abrahale	*	7
Abrahaley	*	11
Abraham	*	553
Abrahan	*	6
Abrahim	*	4
Abram	*	17
Abramo	*	33
Abrar	12	17
Abraão	*	3
Abrehaley	*	3
Abreham	*	6
Abrehe	*	4
Abrehet	55	*
Abrhaley	*	3
Abrham	*	19
Abrhet	11	*
Abriel	*	4
Abril	22	*
Absa	5	*
Absara	3	*
Absera	4	*
Abshir	*	17
Abshira	3	*
Abshiro	4	*
Abtin	*	6
Abu	*	36
Abubacarr	*	3
Abubakar	*	28
Abubaker	*	13
Abubakr	*	10
Abubeker	*	6
Abukar	*	41
Abul	*	20
Abulfaz	*	3
Abulfazel	*	3
Abulfazl	*	10
Abundio	*	3
Abuukar	*	11
Abuzar	*	7
Abuzer	*	49
Aby	18	4
Abyan	*	6
Abyel	*	3
Abygael	4	*
Abygaelle	7	*
Abygail	5	*
Abygaël	8	*
Abygaëlle	21	*
Abílio	*	84
Aca	*	46
Acacia	7	*
Acacio	*	77
Accursia	6	*
Accursio	*	7
Ace	*	20
Acelya	34	*
Achamma	3	*
Achara	6	*
Achchuthan	*	3
Achi	*	3
Achil	*	5
Achile	*	4
Achill	*	15
Achille	*	420
Achilleas	*	33
Achillefs	*	14
Achilles	*	61
Achilleus	*	3
Achim	*	388
Achintya	*	3
Achmad	*	3
Achmed	*	16
Achouak	4	*
Achour	*	10
Achraf	*	56
Achta	3	*
Achuthan	*	5
Acif	*	8
Acim	*	8
Aco	*	80
Acsa	3	*
Acácio	*	52
Ada	756	15
Ada-Maria	6	*
Adacio	*	3
Adaeze	7	*
Adah	3	*
Adailton	*	4
Adaja	5	*
Adal	*	8
Adalbert	*	140
Adalberta	5	*
Adalberto	*	49
Adalet	24	*
Adaleta	15	*
Adalgisa	67	*
Adalgiza	3	*
Adalia	3	*
Adalina	10	*
Adaline	4	*
Adalsteinn	*	3
Adam	*	2'577
Adama	34	44
Adamantia	9	*
Adamantios	*	6
Adamastor	*	4
Adame	*	4
Adamina	3	*
Adamo	*	109
Adams	*	12
Adamu	*	3
Adan	3	68
Adana	6	*
Adane	*	3
Adanna	3	*
Adao	*	74
Adaora	4	*
Adar	10	61
Adara	7	*
Adarsh	*	8
Aday	*	6
Adaya	3	*
Adchara	3	*
Adchaya	3	*
Adchayan	*	3
Adda	6	5
Adderly	*	3
Addis	6	6
Addisalem	5	*
Addison	18	3
Addisu	*	6
Addolorata	223	*
Addy	6	*
Ade	3	6
Adea	150	*
Adebayo	*	8
Adedayo	*	4
Adeeb	*	5
Adeeba	3	*
Adeebah	3	*
Adeel	*	18
Adeela	3	*
Adeilza	3	*
Adeja	3	*
Adel	21	481
Adela	367	*
Adelaida	40	*
Adelaide	277	*
Adelajda	3	*
Adelaïde	44	*
Adelbert	*	146
Adelchi	*	5
Adele	708	*
Adeleh	5	*
Adelfa	5	*
Adelfina	3	*
Adelgisa	3	*
Adelgunde	15	*
Adelhaid	12	*
Adelhaide	3	*
Adelheid	8'594	*
Adelheide	3	*
Adelheit	22	*
Adelia	122	*
Adelie	3	*
Adelin	8	11
Adelina	1'318	*
Adelinda	8	*
Adelinde	20	*
Adeline	806	*
Adelino	*	355
Adelinë	10	*
Adelio	*	64
Adelisa	89	*
Adelita	8	*
Adeljina	21	*
Adelma	11	*
Adelmina	5	*
Adelmo	*	21
Adelon	*	12
Adelrich	*	85
Adeltraut	3	*
Adelya	5	*
Adelyn	7	*
Adelyne	5	*
Adem	*	1'079
Adema	7	*
Ademar	*	24
Ademir	*	10
Ademola	*	3
Ademsafi	*	4
Aden	4	31
Adena	6	*
Adenilson	*	3
Adenis	*	7
Adenisa	4	*
Aderito	*	30
Adesa	10	*
Adesh	*	3
Adesuwa	4	*
Adevija	3	*
Adeviye	3	*
Adewale	*	6
Adeyemi	*	6
Adham	*	40
Adhanet	24	*
Adhanom	*	25
Adhavan	*	3
Adhira	3	*
Adhrit	*	3
Adhuresa	10	*
Adhurim	*	91
Adi	19	89
Adia	15	*
Adiam	71	*
Adian	*	21
Adiat	*	4
Adib	*	30
Adiba	12	*
Adiel	*	9
Adife	3	*
Adifet	19	*
Adifete	52	*
Adija	5	*
Adijan	*	8
Adijat	*	6
Adije	11	*
Adil	*	373
Adila	58	*
Adilan	3	*
Adile	143	*
Adilia	42	*
Adilio	*	3
Adilj	*	18
Adilja	3	*
Adilje	20	*
Adilka	6	*
Adilon	*	12
Adilson	*	48
Adin	*	130
Adina	436	*
Adina-Maria	3	*
Adinda	6	*
Adine	9	*
Adira	5	*
Adis	7	383
Adisa	223	*
Adisak	*	7
Adish	*	3
Adisha	5	*
Adison	*	5
Adisorn	*	3
Adissa	5	*
Adit	*	5
Adithi	5	*
Adithya	*	9
Adithyan	*	3
Aditi	41	*
Aditya	*	68
Adiva	3	*
Adivije	4	*
Adixia	3	*
Adiya	4	*
Adiyam	4	*
Adiza	3	*
Adja	19	*
Adjan	*	3
Adjaratou	3	*
Adjer	11	*
Adjera	3	*
Adjere	14	*
Adjerka	3	*
Adji	6	9
Adjmal	*	5
Adjo	17	*
Adjoa	14	*
Adjoavi	3	*
Adjoua	17	*
Adjovi	8	*
Adjowa	4	*
Adjélé	3	*
Adla	16	*
Adlan	*	11
Adlane	*	6
Adlen	*	4
Adler	*	3
Adlin	4	*
